id,name,description,price,category,image_url,rating,review_count,brand,prime_eligible,features,reviews
B07SM135LS,"Digi-Tatoo Decal Skin Compatible With MacBook Pro 13 inch (Model A2338/ A2289/ A2251) - Protective and Decorative Full Body Laptop Skin Decal Sticker, Anti-Scratch Vinly Skin Sticker Wrap [Fresh Marble]","Digi-Tatoo Decal Skin Compatible With MacBook Pro 13 inch (Model A2338/ A2289/ A2251) - Protective and Decorative Full Body Laptop Skin Decal Sticker, Anti-Scratch Vinly Skin Sticker Wrap [Fresh Marble]",19.99,Electronics,https://placehold.co/400x300/e0e7ff/6366f1?text=B07SM135LS,4.5,246,Digi-Tatoo,True,"[""WARNING: Please IDENTIFY MODEL NUMBER on the bottom of your Macbook. Only fits for model A2338/ A2289/ A2251 (Macbook Pro 13\"" w/ Touch Bar, 2022/2020 release)."", ""Extra Care Yet Not Bulky. Our skin is capable of protecting the surface of your Macbook from daily scratches, dust, oil, water and fingerprint. Your Macbook remains fresh some years later."", ""Elegant Style. Our stylish design and printing tech give your Macbook a 360 degree decorative and impressive looking. Take it out and get tons of compliments."", ""Easy Apply. Easy, bubble-free installation and goo-free removal. Installation guide is well documented in paper material and video format."", ""100% SATISFACTION GUARANTEED. We use best vinyl material and printing technology and offer premium service. Full refund is guaranteed if you are not satisfied with our product.""]","[{""reviewer_name"": ""Customer 24SCQ"", ""rating"": 5.0, ""title"": ""Looks nice and provides the protection I wanted"", ""body"": ""I watched the video and followed that using the two pieces of plastic. It did make it easier. Instead of using the Apple as the guide I used the top of the laptop and then made sure it lined up with the Apple, which it did. It did suction around the edges before I got the plastic out on one side and I had to use a knife to lift it up again, but it wasn\u2019t a big deal, just took a sec.<br />It looks "", ""verified_purchase"": true, ""helpful_votes"": 2}]"
B089CNGZCW,NotoCity Compatible with Vivoactive 4 band 22mm Quick Release Silicone Bands/Garmin Darth Vader/First Avenger/Polar Vantage Smartwatch Sport Breathable Strap Replacement for Gear S3 Classic Watchband,NotoCity Compatible with Vivoactive 4 band 22mm Quick Release Silicone Bands/Garmin Darth Vader/First Avenger/Polar Vantage Smartwatch Sport Breathable Strap Replacement for Gear S3 Classic Watchband,9.99,Electronics,https://placehold.co/400x300/e0e7ff/6366f1?text=B089CNGZCW,4.5,233,NotoCity,True,"[""\u261bNotoCity 22mm band is designed for Vivoactive 4 / Samsung Gear S3 Classic / S3 Frontier / Gear Live / Samsung Galaxy Watch 46mm / Huawei Watch GT / Tickwatch Pro / S2 / E2 / Pebble Classic / Time / T"", ""\u27b9Wrist Size: Small size fits wrist: 6.49inches-8.46inches (165-215mm), Large size fits wrist: 7.28inches-9.25inches (185-235mm) ,Please measure your wrist and make sure the size before you purchase."", ""\u27b9No Tool Needed: Quick Release Pin is easy to wear or remove. Bands made of high-quality soft Silicone material, Anti-sweat, soft and more comfortable to wear. Metal clasp locks onto your watch band i"", ""\u27b9Suitable for Many Occasions: Good for perspiration which is suitable for sports of various kinds. Such as, Running, Walking, Climbing, swimming, biking and others. Simple stripe design, suitable for "", ""\u260eAny problem with the item you receive or any opinion, please don't hesitate to contact us, we will find the best solution to solve.""]","[{""reviewer_name"": ""Customer 5LKZA"", ""rating"": 5.0, ""title"": ""Size is good"", ""body"": ""Great band and the length works great"", ""verified_purchase"": true, ""helpful_votes"": 0}]"
B004E2Z88O,Motorola Droid X Essentials Combo Pack,"all Genuine High Quality Motorola Made Accessories, including Multimedia Station with HDMI technology, HDMI Cable and AC Wall Charger, Motorola Navigation / Music Vehicle Charging Mount Car Dock and Motorola 12v Vehicle Power Adapter Charger!",14.99,Electronics,https://placehold.co/400x300/e0e7ff/6366f1?text=B004E2Z88O,3.8,64,Verizon,True,"[""New Droid X Essentials Combo Pack"", ""Exclusive Package Incredible Value Worth $145!!!"", ""Includes all Genuine High Quality Motorola Made Accessories""]",[]
B07BJ7ZZL7,"QGHXO Band for Garmin Vivofit 4, Soft Silicone Replacement Watch Band Strap for Garmin Vivofit 4 Activity Tracker, Small, Large, Ten Colors (5PCS Bands-Girl, Large)","Compatibility Custom designed for your precious Garmin Vivofit 4 Activity Tracker, this Garmin Watch Sport Band features a combination of functionality and style. Fit for Garmin Vivofit 4 Activity Tracker ONLY. NOT for Garmin Vivofit 1/Garmin Vivofit 2/Garmin Vivofit 3. Feature Material: Silicone. NOTE: Replacement Bands Only! Small fits wrists with a circumference of 122-188mm.  Large fits wrists with a circumference of 148-215mm. Models for selection: For Garmin Vivofit 4 Activity Tracker Only. Contracted design style, with you life contracted and not simple. Package Included Soft Silicone R",14.89,Electronics,https://placehold.co/400x300/e0e7ff/6366f1?text=B07BJ7ZZL7,4.4,707,QGHXO,True,"[""Personalized Your Garmin Vivofit 4 Activity Tracker with this refined replacement wrist band"", ""Small fits wrists with a circumference of 122-188mm. Large fits wrists with a circumference of 148-215mm"", ""Easy and direct installation and removal. Replacement Bands Only! Garmin device NOT included"", ""Garmin Vivofit 4 Buckle Bracelet. Never lose your Garmin Vivofit 4. Fix the tracker fall off problem"", ""Soft silicone with smooth finish for a sporty look, metal parts made with high quality stainless steel""]","[{""reviewer_name"": ""Customer 4P2RQ"", ""rating"": 5.0, ""title"": ""Great!"", ""body"": ""Good quality, great colors, fast shipping!  Fits my garmin Vivofit4 perfectly!"", ""verified_purchase"": true, ""helpful_votes"": 0}, {""reviewer_name"": ""Customer WS6CA"", ""rating"": 2.0, ""title"": ""Love the different colors"", ""body"": ""Black one ripped after only a couple days."", ""verified_purchase"": true, ""helpful_votes"": 0}, {""reviewer_name"": ""Customer AII5A"", ""rating"": 5.0, ""title"": ""Love the colors"", ""body"": ""I love that I have may color to choose from."", ""verified_purchase"": true, ""helpful_votes"": 0}, {""reviewer_name"": ""Customer QTOLA"", ""rating"": 4.0, ""title"": ""Not super flexible, but they are sturdy"", ""body"": ""So far these have held up and kept their color. I wish they were a tiny bit more flexible but they are comfortable and it works."", ""verified_purchase"": true, ""helpful_votes"": 0}, {""reviewer_name"": ""Customer IXEKA"", ""rating"": 1.0, ""title"": ""DONT BUY!!!!!!!!!!!!!!!!!!!"", ""body"": ""Terrible product! Broke in 3 spots in just 5 days!"", ""verified_purchase"": true, ""helpful_votes"": 1}]"
B00R6R82HS,"Fishfinder, Depth Finder Poly Sun Cover for 3"" - 4"" Models - Protects Your Screen from Sun / Weather Damage","Affordable and convenient way to cover your sonar unit. Protects from the sun and repells rain/snow. (It is water resistant, not waterproof). Has drawstring on bottom for securing tightly. Oversize design to fit over cables.",10.99,Electronics,https://placehold.co/400x300/e0e7ff/6366f1?text=B00R6R82HS,4.4,86,Westlake Market,True,"[""Made of poly material"", ""Available in black"", ""Drawstring"", ""For 3-4 inch models"", ""Measures 9 inches (23cm) x 6\"" (115cm) x 3\"" (8cm)""]",[]
B07Y6K1PRB,"Novelty Cute Cartoon USB 2.0 Flash Drive Data Storage Memory Stick Cartoon USB Stick Pendrive Gift (16GB, Camera Black)","This is a special usb stick that make as a cute camera shape.It is fun that use it to store photos and videos you tade;Or as a surprising gift for photographers. The perfect small size USB memory stick comes with a beaded key chain,you can hang it on something to decorate the thing you want,such as keychain/bag. Made out of soft rubber,shockproof, drop-proof Allow to store all of homework,course files,photos,favorite music and film. No need drive,only plug in. Easy to read and read in high speed.  Package Included: 1x U Disk 1x Chain",8.98,Electronics,https://placehold.co/400x300/e0e7ff/6366f1?text=B07Y6K1PRB,4.7,198,Fire Stone,True,"[""\u2665Best Gift\u2665-Catoon shape design different from traditional USB Flash Drive,cute and novelty,cheer up the working day.Cute outside but work well.It will be an amazing gift for your kid,friends and even"", ""\u2665 Easy to Use\u2665-No require for installing a driver.Only plug in and transfer all of your favorite music,applications,ringtones,pictures,images,ect"", ""\u2665 Fast & Safe\u2665-USB 2.0 ensures high read/write speed for file transfer between devices.Electronic storage media,anti-vibration, anti-electromagnetic interference,waterproof,Safely storage of your file"", ""\u2665Compatibility\u2665- Suitable in all USB 2.0 ports which is standard in computers Windows 98/98SE, Me/2000/XP, VISTA, 7; Mac: OS 9.0/ 10.0 or later; Linux: kernel 2.4 or later"", ""\u2665 Warranty\u2665- 100% New; All of our products will be tested by the most authoritative testing software H2test before shipping to ensure its function.And we provide with one year warranty.Contact us once""]",[]
B07848ZT9T,"ANNKE 4K 16CH Security DVR Recorder with Human & Vehicle Detection and (16) 8MP Outdoor Bullet Cameras with IP67 Weatherproof, 100ft Night Vision with EXIR, Email Alert, NO Hard Drive","ANNKE 16 channel 4K DVR security camera system can deliver true 4K Ultra HD footages day or night. IP67 waterproof housing makes the outdoor bullet surveillance cameras withstand extreme weather, perfect for outdoor & indoor protection without limitation, including home, company, office, factory, warehouse, yard, ville, garage, etc. Key Features: 4K Ultra HD Clarity 100 ft EXIR Night Vision H.265+ Video Format Expandable 5-in-1 16CH DVR 5 Smart Detection Ways Multi-Level Encryptions Area Mask for Privacy Protection Outdoor IP67 Weatherproof Digital WDR & 2D DNR 4K HDMI & 1080p VGA Output DVR S",909.99,Electronics,https://placehold.co/400x300/e0e7ff/6366f1?text=B07848ZT9T,5.0,2,ANNKE,True,"[""\u3010Most Accurate Alerts with Person & Vehicle Detection\u3011The 4K UHD DVR, with smartest and most advanced person & vehicle detection, can send you motion triggered push notificaitons and email alerts, cau"", ""\u301016CH + 16 4K Ultra HD 5-in-1 DVR\u3011The powerful & expandable 4K DVR supports 16 pcs 4K TVI, 5MP AHD, 5MP CVI, CVBS, and 16 pcs 4K IP cameras. Record crisp & clean videos at true 4K resolution (3840 X 2"", ""\u3010Advanced H.265+ & Expandable Storage\u3011H.265+ enables the DVR to record for a longer time and consume less bandwidth than H.264 systems. Get 4K live view & recording without losing the image quality."", ""\u3010Remote Access & Motion Detection Alerts\u3011ANNKE App is always 100% free & safe to use. Manage the DVR remotely via your iOS/Android smartphones, tablets, or computers wherever. When there are motion ev"", ""\u3010IP67 Weatherproof Cameras & 4K Video Output\u3011The security cameras are durable enough to withstand extreme temperature from -40\u00b0F to 140 \u00b0F, and can work properly even after soaking in water for 30 min""]",[]
B00VBTJCJE,BIPRA U3 2.5 inch USB 3.0 NTFS Portable External Hard Drive - White (250GB),"Bipra external USB 2.5"" portable size hard drive comes with free carry case. You can store all data in your Pocket size drive. Ultra slim design. Formatted and ready to be used. No messing about needed, just plug it into your USB Ports and away you go. Support plug and play. Ideal for data backup, photos, video, iTunes, iPod,MP3, MP4 and presentations etc. Support USB3.0 with up to 5 GB/Sec ultrahigh transfer speed, backward compatibility usb2.0, copy huge files in a minutes time. Can be utilised on any personal computers, desktop or laptop. Formatted in NTFS for you to use on Windows OS. Avai",98.49,Electronics,https://placehold.co/400x300/e0e7ff/6366f1?text=B00VBTJCJE,5.0,1,BIPRA,True,"[""Storage capacity: 250GB"", ""Formatted as NTFS file system"", ""USB 3.0 Hard drive interface"", ""Support plug and play"", ""No external power needed""]",[]
B0BPLX8B2K,"Outer Space Planets Stickers(50Pcs),Planetary Systems Waterproof Vinyl Water Bottle Stickers for Teens Girls Adults Kids,Laptop Car Cup Computer Guitar Skateboard Luggage Phone Aesthetic Stickers Pack",Features: - Clear picture and exquisite printing. - Can easily peel off and stick on other place. - Sun protection and Waterproof! Never faded out! - Just for smooth surface. Do not suitable for rough surface. How to use: 1.Think about where you want to paste 2.Clean the surface of the object 3.Tear off the bottom paper 4.Firmly stick the sticker on the surface of the object Specification Quantity:50 pieces Size : 2-3.5 inch Material : Waterproof vinyl PVC,3.99,Electronics,https://placehold.co/400x300/e0e7ff/6366f1?text=B0BPLX8B2K,4.5,50,Affoto,True,"[""PROFESSIONAL STICKER SHOP.There are 50 different stickers in each pack. We have a large number of sticker users and fans, and have been recognized, there are AS MANY AS 300 TYPES of stickers, you can "", ""100% WATERPROOF VINYL.The sticker is made of waterproof PVC material,WATERPROOF and UV RESISTANT. In addition, we've added a water-repellent layer of W.P.S 2.0, Prevent fading."", ""NEW UPDATE QUALITY.EASY STICK ON DIFFERENT SURFACE. Stickers also remove without any effort.Each sticker is perfectly cut according to the shape and size."", ""REWARD & GIRT.The best gift for your kids, friends, lovers to DIY decoration.AROUND 2-3.5 INCH each.You would receive the stickers patterns you see in the pictures.No random delivery and no duplicates"", ""FASHIONABLE DECORATION.Suitable for dressing up various items. For example, laptops, Water bottles, Skateboards, Luggage, Bicycles, Cars, Travel Case, Bedroom,Mobile Phones,etc.""]",[]
B0BYBG1PPD,"Gateway 15.6"" FHD Ultra Slim Budget Notebook, Intel Pentium Processor(4-Core, up to 3.1 GHz), 4GB RAM, 128GB Storage, Precision Touchpad, HDMI, Type-C Windows 10S, Microsoft 365 1 Year, Charcoal Black","Processor: Intel® Pentium® Silver N5030 Processor (1.10GHz, Up to 3.10GHz, 4M Cache) Display: 15.6” LCD IPS Display, (1920 x 1080) Operating system: Windows 10 Home 64-bit English in S mode Video Card: Intel UHD Graphics 605 Memory: 4 GB DDR4 RAM Hard drive Size: 128GB eMMC Wireless: Wi-Fi5 (802.11ac) for speeds up to 3x faster than 802.11n Ports: HDMI Output x 1, USB Type-C x 1, USB 3.0 x 2 Battery: Up to 8.5 hours of battery life Dimensions: 14.8” x 9.6” x 0.8” Inches Weight: 4.2lbs Color: Black ENERGY STAR Certified: Yes How to switch s mode to windows 10 1. On your PC running Windows 10 in",189.99,Electronics,https://placehold.co/400x300/e0e7ff/6366f1?text=B0BYBG1PPD,4.1,15,Gateway,True,"[""\u3010Processor\u30114 Core, 4 Threads, 4MB Cache, up to 3.1 GHz. The perfect combination of performance, power consumption, and value helps your device handle multitasking smoothly and reliably with four proce"", ""\u3010Display\u301115.6'' FHD (1920 x 1080) IPS Display, with up to 178 degree viewing angles, Non-touch Narrow Border Display, enjoy your photos, movies, and games on a crystal-clear FHD screen."", ""\u3010RAM and Storage\u3011RAM is 4 GB high-bandwidth RAM to smoothly run multiple applications and browser tabs all at once; storage is is 128GB eMMC which Allows to Fast Boot-up and Data Transfer."", ""\u3010Office 365 for one year\u3011 Get full access to Microsoft Excel, Word, PowerPoint, OneNote, Access, and 1 TB of One Drive storage for 1 year (Worth of $69.99)."", ""\u3010Operating System\u3011Windows 10 Home in S Mode (Free upgrade to Windows 11 Home, Activation required within 6-months of Windows activation)"", ""\u3010Bundled Accessory\u3011 Microfiber Cloth for Screen Cleaning.""]",[]
